steered_angle,outer_wheel
0,0
0.017453293,0.004363323
0.034906585,0.008901179
0.052359878,0.013439035
0.06981317,0.017802358
0.087266463,0.022340214
0.104719755,0.026703538
0.122173048,0.031241394
0.13962634,0.03577925
0.157079633,0.040142573
0.174532925,0.044680429
0.191986218,0.049218285
0.20943951,0.053756141
0.226892803,0.058293997
0.244346095,0.06265732
0.261799388,0.067195176
0.27925268,0.071733032
0.296705973,0.076270888
0.314159265,0.080808744
0.331612558,0.085521133
0.34906585,0.090058989
0.366519143,0.094596845
0.383972435,0.099134702
0.401425728,0.103672558
0.41887902,0.108384947
0.436332313,0.112922803
0.453785606,0.117460659
0.471238898,0.122173048
0.488692191,0.126710904
0.506145483,0.131423293
0.523598776,0.135961149
0.541052068,0.140673538
0.558505361,0.145385927
0.575958653,0.149923783
0.593411946,0.154636172
0.610865238,0.159348561
0.628318531,0.16406095
0.645771823,0.168773339
0.663225116,0.173485728
0.680678408,0.178198117
0.698131701,0.182910506
0.715584993,0.187622895
0.733038286,0.192509816
0.750491578,0.197222205
0.767944871,0.201934594
0.785398163,0.206821516
0.802851456,0.211533905
0.820304748,0.216420827
0.837758041,0.221307749
0.855211333,0.226020138
0.872664626,0.23090706
0.890117919,0.235793982
0.907571211,0.240680904
0.925024504,0.245567826
0.942477796,0.250454748
0.959931089,0.25534167
0.977384381,0.260403124
0.994837674,0.265290046
1.012290966,0.270176968
1.029744259,0.275238423
1.047197551,0.280299878
1.064650844,0.2851868
1.082104136,0.290248255
1.099557429,0.295309709
1.117010721,0.300371164
1.134464014,0.305432619
1.151917306,0.310494074
1.169370599,0.315555529
1.186823891,0.320791517
1.204277184,0.325852971
1.221730476,0.331088959
1.239183769,0.336324947
1.256637061,0.341386402
1.274090354,0.346622389
1.291543646,0.351858377
1.308996939,0.357094365
1.326450232,0.362504886
1.343903524,0.367740873
1.361356817,0.373151394
1.378810109,0.378387382
1.396263402,0.383797903
1.413716694,0.389208423
1.431169987,0.394618944
1.448623279,0.400029465
1.466076572,0.405439985
1.483529864,0.411025039
1.500983157,0.41643556
1.518436449,0.422020613
1.535889742,0.427605667
1.553343034,0.43319072
1.570796327,0.438775774
