Roll,Yaw,Pitch,CxA,CyA,CzA,MxA,MyA,MzA,Downforce
0.013089969,0.087266463,0,-0.50890404,0.095568217,-1.073733054,-0.001287805,0.007084021,-0.000692801,134.68639
0.00244738,0.016315866,0.00244738,-0.4969002,0.01325768,-1.041395675,-0.00025968,0.008633186,-5.9436E-07,130.63007
0.00244738,0.158217059,0.00244738,-0.50889373,0.14744054,-1.011939492,-0.003402466,0.008334912,-0.001300361,126.93516
0.023732559,0.016315866,0.00244738,-0.48504353,0.007357562,-1.020657459,0.000230021,0.008589595,0.000879179,128.02872
0.023732559,0.158217059,0.00244738,-0.52424437,0.15835021,-1.051955037,-0.002971208,0.007602708,-0.00011336,131.95461
0.013089969,0,0.013089969,-0.4901903,-0.015919769,-0.999837688,0.000490683,0.007454662,0.001089333,125.41714
0.013089969,0.087266463,0.013089969,-0.50618517,0.11327229,-1.006269417,-0.000745052,0.006429252,-0.001057659,126.22392
0.013089969,0.174532925,0.013089969,-0.50395715,0.12767088,-0.948982481,-0.003042727,0.007247248,0.000606069,119.03799
0.026179939,0.087266463,0.013089969,-0.50971806,0.12103827,-0.992805102,-0.000858905,0.006902949,-0.001196071,124.53499
0.00244738,0.016315866,0.023732559,-0.48724645,0.047203552,-0.968699472,-0.00049811,0.005147492,-0.001166375,121.51124
0.00244738,0.158217059,0.023732559,-0.49753064,0.1383892,-0.880463179,-0.002292881,0.006414245,-0.000950414,110.4431
0.023732559,0.016315866,0.023732559,-0.44439775,-0.044120912,-1.011661425,0.000572095,0.007113043,0.001058997,126.90028
-0.013089969,0.087266463,0,-0.50890404,-0.095568217,-1.073733054,-0.001287805,0.007084021,-0.000692801,134.68639
-0.00244738,0.016315866,0.00244738,-0.4969002,-0.01325768,-1.041395675,-0.00025968,0.008633186,-5.9436E-07,130.63007
-0.00244738,0.158217059,0.00244738,-0.50889373,-0.14744054,-1.011939492,-0.003402466,0.008334912,-0.001300361,126.93516
-0.023732559,0.016315866,0.00244738,-0.48504353,-0.007357562,-1.020657459,0.000230021,0.008589595,0.000879179,128.02872
-0.023732559,0.158217059,0.00244738,-0.52424437,-0.15835021,-1.051955037,-0.002971208,0.007602708,-0.00011336,131.95461
-0.013089969,0,0.013089969,-0.4901903,0.015919769,-0.999837688,0.000490683,0.007454662,0.001089333,125.41714
-0.013089969,0.087266463,0.013089969,-0.50618517,-0.11327229,-1.006269417,-0.000745052,0.006429252,-0.001057659,126.22392
-0.013089969,0.174532925,0.013089969,-0.50395715,-0.12767088,-0.948982481,-0.003042727,0.007247248,0.000606069,119.03799
-0.026179939,0.087266463,0.013089969,-0.50971806,-0.12103827,-0.992805102,-0.000858905,0.006902949,-0.001196071,124.53499
-0.00244738,0.016315866,0.023732559,-0.48724645,-0.047203552,-0.968699472,-0.00049811,0.005147492,-0.001166375,121.51124
-0.00244738,0.158217059,0.023732559,-0.49753064,-0.1383892,-0.880463179,-0.002292881,0.006414245,-0.000950414,110.4431
-0.023732559,0.016315866,0.023732559,-0.44439775,0.044120912,-1.011661425,0.000572095,0.007113043,0.001058997,126.90028
